,segment_id,split_index,nucleus_id,cell_type,syn_density_post,syn_density_head,syn_density_neck,syn_density_shaft,skeletal_length_processed_syn,spine_density,skeletal_length_processed_spine,allen_e_i,allen_e_i_n_nuc,allen_cell_type,allen_cell_type_n_nuc,allen_cell_type_e_i,cell_type_manual
32,864691135341055941,0,664718,excitatory,0.5449289174712573,0.05220875856012045,0.0,0.4339853055310013,306461.9891617489,0.18061083015092155,177176.52907779807,excitatory,1,4P,1,excitatory,excitatory
33,864691135341135025,0,200606,excitatory,0.35180274474447226,0.07351722056643635,0.003738163757615408,0.25502583857509564,2407599.180657923,0.1236562438319232,2256254.850982083,excitatory,1,5P_NP,1,excitatory,excitatory
34,864691135354895567,0,434523,excitatory,0.5104565788358343,0.09412968594291987,0.0004146682200128629,0.35122398235089486,2411566.5289444663,0.18066129097425238,2324792.4208615217,excitatory,1,6CT,1,excitatory,excitatory
35,864691135366968569,0,264588,excitatory,1.2657331070962723,0.23899626009872396,0.01225621846660123,0.9166165810779343,5385021.50396985,0.376954325680676,4952854.690362581,excitatory,2,4P,2,excitatory,excitatory
36,864691135373742665,0,434122,excitatory,0.5273591258039991,0.05367082370296773,0.0010387901361864724,0.40443562635526653,2887975.0543390536,0.15321292687392907,2669487.544850212,excitatory,1,6IT,1,excitatory,excitatory
37,864691135382967275,0,588765,inhibitory,1.1749868285501144,0.1671622410478143,0.006872450055170116,0.8438964405980951,4947289.500404872,0.37245248261787955,4550916.100991595,inhibitory,1,5P_PT,1,excitatory,excitatory
38,864691135382980587,0,435775,excitatory,0.9319315828745571,0.08680277029060161,0.004260258664569404,0.6981498886563111,1877820.2522143293,0.23670122126791318,1584275.7295094463,excitatory,1,6CT,1,excitatory,excitatory
39,864691135384731890,0,232913,excitatory,0.8527035487471006,0.1315484113969024,0.0020238217137984985,0.6429006977499897,2964688.0251811496,0.23706882398010554,2682765.2380532846,excitatory,1,MC,1,inhibitory,excitatory
40,864691135385235797,0,560425,excitatory,0.8462648713685132,0.1491685669433251,0.003975038950803894,0.6173863128327521,4779827.376573889,0.2586914010096944,4476376.08161782,excitatory,1,5P_PT,1,excitatory,excitatory
41,864691135385322837,0,126176,inhibitory,1.1558459557838745,0.19391087392682668,0.008762180943648357,0.8019300385382517,2624917.2606590074,0.3759765617310299,2385787.0178665696,inhibitory,1,NGC,1,inhibitory,excitatory
